epoch,step,test_loss,time_forward,train_loss,valid_loss
0,3,,,,38199.91015625
0,3,,0.9937379956245422,36478.9140625,
1,7,,,,34520.0625
1,7,,0.9737749695777893,34259.125,
2,11,,,,30089.79296875
2,11,,0.9710639119148254,31056.916015625,
3,15,,,,26972.025390625
3,15,,0.9661926627159119,27465.498046875,
4,19,,,,24703.376953125
4,19,,0.9663987159729004,24670.11328125,
5,23,,,,20879.46484375
5,23,,0.9647848606109619,21726.568359375,
6,27,,,,18827.099609375
6,27,,0.9646430015563965,19426.69140625,
7,31,,,,17601.3203125
7,31,,0.9651162028312683,17472.9140625,
8,35,,,,15883.7421875
8,35,,0.9691782593727112,16123.5224609375,
9,39,,,,14999.546875
9,39,,0.9659302234649658,14924.453125,
10,43,,,,13983.255859375
10,43,,0.9665250778198242,14143.751953125,
11,47,,,,13714.109375
11,47,,0.9665819406509399,13450.01953125,
12,51,,,,13420.2333984375
12,51,,0.9670082926750183,13078.5771484375,
13,55,,,,13386.396484375
13,55,,0.9659952521324158,12841.603515625,
14,59,,,,13031.1845703125
14,59,,0.9653628468513489,12730.884765625,
15,63,,,,13126.23046875
15,63,,0.985434353351593,12546.69921875,
16,67,,,,12859.0771484375
16,67,,0.9670288562774658,12495.2919921875,
17,71,,,,12821.236328125
17,71,,0.9696230292320251,12408.7578125,
18,75,,,,12750.330078125
18,75,,0.9676576852798462,12289.5751953125,
19,79,,,,12641.677734375
19,79,,0.9658541083335876,12227.697265625,
20,83,,,,12816.3564453125
20,83,,0.9690388441085815,12199.1767578125,
21,87,,,,12657.3232421875
21,87,,0.9652941823005676,12248.8740234375,
22,91,,,,12760.08203125
22,91,,0.9644686579704285,12146.591796875,
23,95,,,,12568.48828125
23,95,,0.9713883996009827,12164.0810546875,
24,99,,,,12644.181640625
24,99,,0.9728360772132874,12104.806640625,
25,103,,,,12565.4541015625
25,103,,0.9758622646331787,12147.337890625,
26,107,,,,12453.2001953125
26,107,,0.9697623252868652,12075.556640625,
27,111,,,,12492.09375
27,111,,0.9772717356681824,11974.4814453125,
28,115,,,,12553.005859375
28,115,,0.9729865193367004,11989.1474609375,
29,119,,,,12410.0400390625
29,119,,0.973074734210968,11963.6376953125,
30,123,,,,12345.94140625
30,123,,0.9704336524009705,11897.9150390625,
31,127,,,,12331.83984375
31,127,,0.9782349467277527,11895.9189453125,
32,131,,,,12358.2099609375
32,131,,0.9816820025444031,11906.587890625,
33,135,,,,12305.8984375
33,135,,0.9772682785987854,11835.8955078125,
34,139,,,,12327.748046875
34,139,,0.9805243611335754,11833.40234375,
35,143,,,,12259.16015625
35,143,,0.9772128462791443,11793.9365234375,
36,147,,,,12257.4873046875
36,147,,0.9694891571998596,11780.462890625,
37,151,,,,12222.34765625
37,151,,0.9787253737449646,11748.3076171875,
38,155,,,,12171.40625
38,155,,1.027292013168335,11728.8857421875,
39,159,,,,12195.154296875
39,159,,1.121193766593933,11704.9599609375,
40,163,,,,12137.5263671875
40,163,,1.1271436214447021,11676.91796875,
41,167,,,,12095.998046875
41,167,,1.1273752450942993,11677.009765625,
42,171,,,,12096.634765625
42,171,,1.160085678100586,11645.2509765625,
43,175,,,,12080.6240234375
43,175,,1.1331298351287842,11629.1025390625,
44,179,,,,12089.1943359375
44,179,,1.1301329135894775,11601.6552734375,
45,183,,,,12036.630859375
45,183,,1.1204230785369873,11586.1845703125,
46,187,,,,11996.3740234375
46,187,,1.13164484500885,11573.6337890625,
